id,number_of_vertices,asymmetric_depth,degree_sequence,graph_representation,g6string
32,9,2,"(5, 4, 4, 4, 3, 2, 2, 2, 2)","{1: [5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 4, 6, 9], 8: [2, 4, 5, 9], 9: [3, 4, 6, 7, 8]}",HGAQpYN
33,9,2,"(5, 4, 4, 3, 3, 3, 2, 2, 2)","{1: [5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1, 8, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6, 9], 8: [2, 4, 5], 9: [3, 4, 5, 6, 7]}",HA?|AUZ
34,9,2,"(5, 4, 3, 3, 3, 3, 3, 2, 2)","{1: [9, 5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1, 8, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6], 8: [2, 4, 5], 9: [1, 3, 4, 5, 6]}",H@?kuHx
35,9,2,"(5, 4, 4, 3, 3, 3, 3, 2, 1)","{1: [9, 5, 7], 2: [8, 9, 6], 3: [6], 4: [8, 9, 7], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 4, 6], 8: [2, 4, 5, 9], 9: [1, 2, 4, 6, 8]}",H@@atO^
36,9,2,"(5, 5, 4, 4, 3, 3, 2, 2, 2)","{1: [5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1, 8, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6, 8], 8: [2, 4, 5, 7, 9], 9: [3, 4, 5, 6, 8]}",H?J@iu\
37,9,2,"(6, 5, 4, 4, 3, 3, 3, 2, 2)","{1: [9, 5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1, 8, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6, 8, 9], 8: [2, 4, 5, 7], 9: [1, 3, 4, 5, 6, 7]}",H@@]@]z
38,9,2,"(7, 5, 5, 4, 3, 3, 3, 2, 2)","{1: [9, 5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 9, 7], 5: [1, 8, 9], 6: [2, 3, 9, 7], 7: [1, 4, 6, 8, 9], 8: [2, 4, 5, 7, 9], 9: [1, 3, 4, 5, 6, 7, 8]}",H@B?|T~
39,9,2,"(5, 5, 4, 4, 3, 3, 3, 2, 1)","{1: [9, 5, 7], 2: [8, 9, 6], 3: [6], 4: [8, 9, 7], 5: [1, 8], 6: [2, 3, 9, 7], 7: [1, 4, 6, 8, 9], 8: [2, 4, 5, 7], 9: [1, 2, 4, 6, 7]}",H?Ps`sn
40,9,2,"(5, 5, 4, 4, 3, 3, 2, 2, 2)","{1: [9, 5, 7], 2: [8, 6], 3: [9, 6], 4: [8, 7], 5: [1, 8, 9], 6: [2, 3, 7, 8, 9], 7: [1, 4, 6, 9], 8: [2, 4, 5, 6], 9: [1, 3, 5, 6, 7]}",H?DpUMZ
41,9,2,"(5, 5, 4, 4, 3, 3, 3, 2, 1)","{1: [9, 5, 7], 2: [8, 9, 6], 3: [6], 4: [8, 7], 5: [1, 8, 9], 6: [2, 3, 7, 8, 9], 7: [1, 4, 6, 9], 8: [2, 4, 5, 6], 9: [1, 2, 5, 6, 7]}",H@@i`uN
42,9,2,"(5, 5, 4, 4, 4, 2, 2, 2, 2)","{1: [8, 9, 5, 7], 2: [8, 6], 3: [9, 6], 4: [9, 7], 5: [1, 9], 6: [2, 3, 8, 7], 7: [1, 4, 6, 8], 8: [1, 2, 6, 7, 9], 9: [1, 3, 4, 5, 8]}",H?o_ziN
43,9,2,"(4, 4, 4, 4, 3, 2, 2, 2, 1)","{1: [8, 9, 5, 7], 2: [8, 6], 3: [9, 6], 4: [7], 5: [1, 8], 6: [2, 3, 7], 7: [1, 4, 6, 9], 8: [1, 2, 5, 9], 9: [1, 3, 7, 8]}",H?KaImM
